ID,Word,IMA_M,IMA_SD,IMA_MIN,IMA_MAX,IMA_N
188,宝贝,4.40909,2.32295,1,7,22
189,宝藏,5.08696,2.04302,1,7,23
190,宝贵,3.85000,2.27746,1,7,20
191,宝库,5.19048,2.04007,1,7,21
192,宝石,6.10526,1.10024,4,7,19
193,宝物,5.80952,1.07792,4,7,21
194,保安,6.40000,1.04630,4,7,20
195,保持,3.47826,2.17150,1,7,23
196,保存,3.96552,1.95453,1,7,29
197,保管,4.04762,1.90987,1,7,21
198,保护,4.43478,2.04108,1,7,23
199,保健,3.70000,1.83819,1,7,20
200,保留,4.38095,2.22432,1,7,21
201,保姆,5.84211,1.16729,3,7,19
202,保暖,5.04762,2.06098,1,7,21
203,保守,3.95000,2.03845,1,7,20
204,保卫,4.10000,1.86096,1,7,20
205,保险,4.86364,2.00702,1,7,22
206,保修,4.47619,2.22753,1,7,21
207,保养,4.81818,1.96726,1,7,22
208,保佑,3.85714,2.30837,1,7,21
209,保障,3.85000,2.25424,1,7,20
210,保证,4.04000,2.12814,1,7,50
211,堡垒,5.54545,2.10955,1,7,22
212,报仇,3.63043,1.83010,1,7,46
213,报酬,4.82609,2.08135,1,7,23
214,报答,4.00000,2.27110,1,7,20
215,报到,4.90000,1.97084,1,7,20
216,报道,4.95349,1.86386,1,7,43
217,报废,4.60000,2.39297,1,7,20
218,报复,4.66667,2.39444,1,7,21
219,报告,4.95000,1.90498,1,7,20
220,报警,5.18182,2.08478,1,7,22
221,报刊,6.83333,0.38348,6,7,18
222,报考,4.09091,2.26588,1,7,22
223,报名,4.30000,2.10513,1,7,20
224,报时,4.17391,2.14587,1,7,23
225,报销,3.87500,1.67624,1,7,24
226,报纸,6.65217,0.71406,5,7,23
227,抱负,3.63636,2.21565,1,7,22
228,抱歉,4.50000,2.16430,1,7,20
229,抱拳,6.36842,0.76089,5,7,19
230,抱怨,4.85000,2.13431,1,7,20
231,暴动,4.18182,1.94291,2,7,22
232,暴风,6.02041,1.08953,4,7,49
233,暴力,5.00000,1.65145,2,7,23
234,暴烈,3.40909,2.06234,1,7,22
235,暴露,3.93103,2.08620,1,7,29
236,暴乱,3.91304,1.92857,1,7,23
237,暴怒,4.86364,1.85922,1,7,22
238,暴虐,5.42857,1.91237,1,7,21
239,暴跳,4.95455,1.93900,1,7,22
240,暴雨,6.73684,0.45241,6,7,19
241,暴躁,4.72727,2.16425,1,7,22
242,爆发,5.85714,1.49284,3,7,21
243,爆破,5.25000,1.65036,2,7,20
244,爆炸,6.26316,0.87191,4,7,19
245,爆竹,6.36364,0.95346,4,7,22
246,杯子,6.79070,0.55883,5,7,43
247,卑鄙,3.69565,2.07660,1,7,23
248,卑贱,3.09091,2.02153,1,7,22
249,卑劣,3.51724,1.78527,1,7,29
250,卑微,4.59091,1.76363,1,7,22
251,悲哀,4.57143,2.11119,1,7,21
252,悲惨,3.61905,1.90987,1,7,21
253,悲怆,3.65000,1.89945,1,7,20
254,悲愤,4.40909,2.13048,1,7,22
255,悲观,4.76190,2.25621,1,7,21
256,悲剧,4.27273,1.90693,1,7,22
257,悲凉,4.55000,1.95946,1,7,20
258,悲伤,4.90000,2.04939,1,7,20
259,悲痛,4.75000,2.19749,1,7,20
260,悲壮,3.54545,2.24090,1,7,22
261,北方,4.80952,2.08852,1,7,21
262,北风,4.54545,2.42462,1,7,22
263,北极,5.97917,1.22890,3,7,48
264,北京,6.85000,0.48936,5,7,20
265,贝壳,6.65000,0.67082,5,7,20
266,备战,3.95652,2.05555,1,7,23
267,背包,6.38095,1.10326,3,7,42
268,背地,4.33333,2.12916,1,7,21
269,背后,5.04545,1.78558,1,7,22
270,背景,4.72727,1.51757,2,7,22
