,object,image,name_agreement,H_statistic,Normalised_H_statistic,recognition_RT_mean,recognition_RT_SD,recognition_RT_95CI,first_key_RT,is_natural,modalName,modalWordFreq,weightedWordFreq,modalWordLength,weightedWordLength,modalProductionFreq_raw,altName1,altName1ProductionFreq_raw,altName1WordFreq,altName1WordLength,altName2,altName2ProductionFreq_raw,altName2WordFreq,altName2WordLength,altName3,altName3ProductionFreq_raw,altName3WordFreq,altName3WordLength,altName4,altName4ProductionFreq_raw,altName4WordFreq,altName4WordLength,altName5,altName5ProductionFreq_raw,altName5WordFreq,altName5WordLength,altName6,altName6ProductionFreq_raw,altName6WordLength,altName6WordFreq,altName7,altName7ProductionFreq_raw,altName7WordLength,altName7WordFreq,altName8,altName8ProductionFreq_raw,altName8WordLength,altName8WordFreq,altName9,altName9ProductionFreq_raw,altName9WordLength,altName9WordFreq,altName10,altName10ProductionFreq_raw,altName10WordLength,altName10WordFreq,altName11,altName11ProductionFreq_raw,altName11WordLength,altName11WordFreq,altName12,altName12ProductionFreq_raw,altName12WordLength,altName12WordFreq,altName13,altName13ProductionFreq_raw,altName13WordLength,altName13WordFreq,altName14,altName14ProductionFreq_raw,altName14WordLength,altName14WordFreq,altName15,altName15ProductionFreq_raw,altName15WordLength,altName15WordFreq
258,firetruck,firetruck_2.png,65.625,1.079439162,0.681050284,1024.134375,553.57611,191.80081,94.80624999,0,fire engine,3.175742669,2.856824847,10,9.677419355,21,fire truck,10,2.18709742,9,vehicle,1,4.52,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,firetruck,firetruck_3.png,71.875,1.201509375,0.600754688,1059.384375,585.25576,202.77706,100.15625,0,fire engine,3.175742669,3.1136989,10,9.419354839,23,fire truck,6,2.18709742,9,fire,2,5.18,4,emergency,1,4.65,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,firetruck,firetruck_4.png,57.57575758,1.734092672,0.617696273,916.296875,454.52923,157.48345,98.46562505,0,fire engine,3.175742669,2.846194253,10,9.666666667,19,fire truck,9,2.18709742,9,fire fighters,1,3.091935073,12,engine,1,4.5,6,vehicle,1,4.52,7,fire,1,5.18,4,truck,1,5,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,flowerpot,flowerpot_1.png,46.875,2.242036144,0.747345381,1043.262069,521.17627,189.68532,91.03448273,0,plant pot,2.868921995,3.44753792,8,6.653846154,15,pot,7,4.76,3,flowerpot,4,2.65,9,bucket,2,4.21,6,bin,1,4.49,3,plant holder,1,NA,11,plant,1,5,4.81,vase,1,4,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,flowerpot,flowerpot_2.png,40.625,2.158926511,0.71964217,1054.925806,468.85504,165.04631,86.59677418,0,pot,4.76,3.755116368,3,5.703703704,13,plant pot,11,2.868921995,8,flowerpot,3,2.65,9,flower,1,NA,6,clay pot,1,1.951008231,7,container,1,3.77,9,bucket,1,6,4.21,vase,1,4,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,flowerpot,flowerpot_3.png,39.39393939,2.228807706,0.742935902,894.7515152,515.93212,176.02878,93.00606066,0,plant pot,2.868921995,3.660206411,8,5.931034483,13,pot,11,4.76,3,flowerpot,3,2.65,9,vase,2,4.27,4,planter,1,2.84,7,container,1,3.77,9,plant,1,5,4.81,cup,1,3,5.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,flowerpot,flowerpot_4.png,33.33333333,2.14501834,0.829806366,1105.781818,514.08949,175.4001,89.72121211,0,plant pot,2.868921995,3.707359417,8,6.322580645,11,bucket,10,4.21,6,pot,7,4.76,3,flowerpot,3,2.65,9,planter,1,2.84,7,container,1,3.77,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,flytrap,flytrap_1.png,51.61290323,2.171465262,0.723821754,1152.829032,669.21554,235.57721,88.78709677,1,venus flytrap,2.358493558,2.992440627,12,9.444444444,16,plant,6,4.81,5,flytrap,3,2.5,7,cactus,2,3.35,6,fly,1,4.9,3,aloe vera,1,2.376976964,8,trap,1,4,4.22,flower,1,6,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,flytrap,flytrap_2.png,43.75,2.476365862,0.745460405,1454.567857,1163.91251,431.1113,95.68571429,1,venus flytrap,2.358493558,3.052814668,12,9.181818182,14,plant,6,4.81,5,flytrap,4,2.5,7,venus,1,3.88,5,flower,1,NA,6,snapdragon,1,1.87,10,fly eating plant,1,14,NA,fly catcher,1,10,1.473886977,fly,1,3,4.9,cactus,1,6,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,flytrap,flytrap_3.png,48.38709677,1.838792201,0.711341925,1388.882759,997.64642,363.09957,97.52068966,1,venus flytrap,2.358493558,3.282181845,12,8.851851852,15,plant,10,4.81,5,flytrap,3,2.5,7,cactus,1,3.35,6,flower,1,4.5,6,trap,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,flytrap,flytrap_4.png,46.875,2.344753534,0.781584511,1424.86129,995.59278,350.4685,88.01935484,1,venus flytrap,2.358493558,3.12715184,12,9,15,plant,5,4.81,5,flytrap,4,2.5,7,flower,3,4.5,6,venus,2,3.88,5,snapdragon,1,1.87,10,fly,1,3,4.9,shrimp,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,forklift,forklift_1.png,78.125,1.246987352,0.482400558,1090.775862,871.8428,317.31257,89.92413793,0,forklift,2.89,2.830081966,8,8.230769231,25,forklift truck,2,2.481065561,13,lifter,2,2.52,6,buggy,1,3.41,5,vehicle,1,4.52,7,trolley,1,3.82,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,forklift,forklift_2.png,62.5,1.962704706,0.654234902,1067.351613,445.5134,156.8296,89.70645152,0,forklift,2.89,2.988266544,8,8.555555556,20,forklift truck,3,2.481065561,13,machinery,2,3.88,9,tractor,2,3.84,7,lifter,2,2.52,6,lift,1,4.75,4,vehicle,1,7,4.52,tool,1,4,4.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,forklift,forklift_3.png,71.875,1.623689844,0.541229948,1330.370968,607.87848,213.98534,87.45483871,0,forklift,2.89,3.003412264,8,8.296296296,23,forklift truck,2,2.481065561,13,machine,2,4.83,7,truck,1,4.22,5,construction vehicle,1,NA,19,vehicle,1,4.52,7,trolley,1,7,3.82,lifter,1,6,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,forklift,forklift_4.png,58.82352941,2.192211021,0.659921274,1080.15,428.04524,148.30739,97.45624997,0,forklift,2.89,3.004697351,8,8.230769231,20,tractor,4,3.84,7,forklift truck,2,2.481065561,13,vehicle,2,4.52,7,machinery,1,3.88,9,construction vehicle,1,NA,19,fork truck,1,9,1.394705731,jcb,1,3,2.78,digger,1,6,3.81,machine lifter,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,fox,fox_1.png,100,0,0,922.2866667,332.32924,118.9203,92.08999997,1,fox,4.46,4.46,3,3,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,fox,fox_2.png,90.625,0.534954723,0.337518852,833.6375,236.1504,81.82044,93.56875,1,fox,4.46,4.411612903,3,3.193548387,29,mammal,2,3.71,6,pine tree,1,2.45916372,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,fox,fox_3.png,93.93939394,0.390452131,0.246347867,882.569697,301.78929,102.96626,94.67575759,1,fox,4.46,4.46,3,3,31,mammal,1,3.71,6,animal,1,4.93,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,fox,fox_4.png,96.96969697,0.195909271,0.195909271,992.2967742,557.35195,196.199,93.45483864,1,fox,4.46,4.46,3,3,32,mammal,1,3.71,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,frog,frog_1.png,84.375,0.92556367,0.398618576,879.0322581,438.50264,154.36166,87.63870967,1,frog,4.05,4.024285714,4,4,27,toad,2,3.69,4,reptile,1,3.36,7,amphibian,1,2.78,9,tree frog,1,2.376976964,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,frog,frog_2.png,84.375,0.73806367,0.465666329,1047.978125,778.07893,269.58565,96.9625,1,frog,4.05,4.003548387,4,4,27,toad,4,3.69,4,reptile,1,3.36,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,frog,frog_3.png,71.875,1.533489053,0.511163018,1371.053333,1090.91564,390.37198,89.32999999,1,frog,4.05,3.916158157,4,4.32,23,tree frog,2,2.376976964,8,animal,1,4.93,6,lily pad,1,2.466587738,7,lizard,1,3.73,6,reptile,1,3.36,7,amphibian,1,9,2.78,gecko,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,frog,frog_4.png,78.125,0.887306883,0.559828313,1192.263333,488.738,174.88944,90.15999998,1,frog,4.05,3.975517241,4,4,25,toad,6,3.69,4,amphibian,1,2.78,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,frogfish,frogfish_1.png,82.35294118,0.965426307,0.373477877,1340.85,562.136,194.76661,96.73437497,1,fish,5.19,5.19,4,4,28,pond,1,4.2,4,fossil,1,3.73,6,coral,1,3.86,5,seaweed,1,3.83,7,stonefish,1,2.19,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
