word.EN,word.CH,pos,syllables,strokes,HSK,valence.mean.CH,valence.sd.CH,valence.N.CH,arousal.mean.CH,arousal.sd.CH,arousal.N.CH,valence.mean.EN,valence.sd.EN,valence.N.EN,arousal.mean.EN,arousal.sd.EN,arousal.N.EN,sensory.mean.CH,sensory.sd.CH,sensory.N.CH,valence_Xu,arousal_Xu,valence_yao,arousal_yao,imageability_su,familiarity_su,concreteness_xu,freq_m_Tsang,freq_cncorpus,AoA_Xu,RT_Tsang,zRT_Tsang,category
lyrical,抒情,verb,2,18,NA,6.12,1.41,16,3.69,1.85,16,6.84,1.61,19,3.81,2.23,21,5.44,2.13,16,1,1.85,NA,NA,3.85714,5.785714,3.388889,1.7,0.0023,12.5,677.99,-0.538,NA
macaroni,通心粉,noun,3,24,NA,5.47,1.06,15,4.36,2.37,14,7.75,1.37,20,5.09,2.37,23,4.71,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
machine,机器,noun,2,22,5,4.94,0.44,16,4.31,1.85,16,5,1.24,23,4.39,2.18,44,3.81,1.8,16,0.08,1.56,NA,NA,6.09524,6.285714,2.111111,50.94,0.0132,9.8,608.99,-0.708,NA
madam,夫人,noun,2,6,6,6.06,1.39,16,4.44,1.55,16,5.17,1.89,18,3.05,2.09,20,4.75,2.46,16,0.75,2.54,4.58,4.19,5.09524,6.214286,1.346154,151.49,0.0046,11.6,628.45,-0.687,NA
madhouse,疯人院,noun,3,20,NA,2.94,1.69,16,5.38,2.58,16,3.11,1.64,18,5.77,2.52,22,4.94,1.88,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mafia,黑手党,noun,3,26,NA,3.31,1.66,16,5.53,2.26,15,3.11,1.15,19,7.05,1.77,21,5.08,2.25,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
magazine,杂志,noun,2,13,4,5.62,1.15,16,3.88,1.96,16,6.24,1.87,21,4.2,2.57,20,5.25,2.18,16,0.27,1.22,NA,NA,6.47368,6.24,1.434783,71.39,0.0032,10.9,797.65,-0.218,NA
magic,魔术,noun,2,25,6,6.06,1.06,16,5.25,2.05,16,7.17,1.89,18,6.05,2.64,21,6.12,1.63,16,0.29,2.5,NA,NA,6.31818,6.592593,2.3,17.35,0.0005,10.1,654.36,-0.539,NA
magician,魔术师,noun,3,31,NA,5.88,1.15,16,4.62,2.16,16,5.68,2.21,19,4.73,2.73,22,5.12,2.06,16,0.5,2.16,NA,NA,NA,5.454545,NA,8.02,0.001,11.2,644.26,-0.626,NA
magnet,磁铁,noun,2,24,NA,5.12,0.5,16,4,1.75,16,5.65,1.31,20,3.38,1.95,24,4.69,2.3,16,0.04,1.5,NA,NA,6.42857,6.071429,1.692308,2.41,0.0014,9.2,781.36,-0.174,NA
magnify,放大,verb,2,11,6,5.12,0.62,16,4.44,1.63,16,4.86,1.67,22,4.41,2.44,22,5.75,1.61,16,-0.04,1.76,NA,NA,NA,5.833333,2.645161,9.99,0.0026,11.8,701.61,-0.465,NA
mahjong,麻将,noun,2,20,NA,5.56,1.59,16,4.69,2.41,16,5.55,1.5,20,3.61,2.21,23,5.25,2.32,16,NA,NA,5.71,4.07,NA,5.461538,NA,NA,0.0006,9.6,NA,NA,NA
maid,女仆,noun,2,7,NA,5.38,1.26,16,4.75,2.11,16,5.38,1.72,21,3.19,1.91,21,4.75,2.32,16,-0.88,1.85,NA,NA,NA,5.381579,1.961538,6.92,NA,12.7,723.84,-0.349,NA
mail,邮件,noun,2,13,NA,5,0.82,16,4.38,1.93,16,6.28,1.6,40,3.81,2.09,21,4.75,2.24,16,0.27,1.46,NA,NA,5.86364,5.8,1.5,35.62,NA,14,692.04,-0.534,NA
mailbox,信箱,noun,2,24,NA,5.19,0.91,16,4.25,1.84,16,6.05,1.57,20,2.29,1.27,21,4.44,1.75,16,0.14,1.5,NA,NA,5.7619,5.56,1.322581,8.67,NA,10.3,708.24,-0.455,NA
main,主要,adjective,2,14,3,5.38,0.66,32,4.44,1.46,32,5.27,1.16,22,4.1,2.4,20,4.41,2.34,32,NA,NA,NA,NA,2.81818,6.25,NA,NA,0.0824,10.3,NA,NA,NA
maintain,维持,verb,2,20,6,5.27,1.09,48,4.52,1.54,48,6.29,1.19,21,2.75,2.21,24,4.29,2.15,48,0.36,1.39,2.62,6.36,4.15,6.771429,3.304348,22.36,0.0093,12.1,722.57,-0.355,NA
majesty,陛下,noun,2,12,NA,5.56,1.46,16,4.69,1.7,16,6.86,2.31,21,4.7,2.79,20,4.56,2.31,16,0.47,2,NA,NA,5.04762,5.928571,2.076923,35.26,0.0011,11.9,610.93,-0.746,NA
major,专业,noun,2,9,4,5.91,1.23,32,4.59,1.66,32,5.52,1.36,21,4.24,2.72,21,4.72,2.62,32,1.3,2.38,NA,NA,4.28571,6.607143,2.923077,48.14,0.01,12.1,607.28,-0.765,NA
make,制作,verb,2,15,5,5.56,1.15,16,4.94,1.81,16,6.09,1.6,22,3.67,2.33,21,4.75,2.14,16,0.42,1.28,NA,NA,4.34091,6.540741,2.461538,41.23,0.0038,11.2,643.3,-0.637,NA
makeup,化妆,verb,2,10,6,5.69,1.45,16,4.94,1.91,16,5.21,1.4,19,4.1,1.68,20,5.19,2.1,16,0.42,1.83,NA,NA,5.94737,6.12,2.043478,17.77,NA,13,651.4,-0.568,NA
malaria,疟疾,noun,2,18,NA,2.62,1.26,16,6.12,1.78,16,2.34,1.39,41,5.07,2.63,41,5.06,2.17,16,-1.64,2.76,NA,NA,NA,3.863636,2.347826,1.94,0.0008,12.5,807.55,-0.093,NA
male,男性,noun,2,15,NA,5.41,1.36,32,4.53,1.88,32,6.91,1.9,22,4.5,2.48,20,#N/A,#N/A,#N/A,NA,NA,NA,NA,NA,6.434783,NA,NA,0.0016,8.1,NA,NA,NA
mallet,木槌,noun,2,17,NA,5,0.37,16,4.19,1.94,16,4.7,1.63,20,3.95,2.44,21,4.19,2.26,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
malt,麦芽,noun,2,14,NA,5.53,0.74,15,3.81,1.97,16,6.14,2.2,21,3.75,2.07,24,4.81,2.23,16,0.32,1.08,NA,NA,NA,6.076923,1.466667,2.03,NA,11.6,826.17,-0.112,NA
mammoth,猛犸象,noun,3,28,NA,5,0.97,16,4.36,2.5,14,5.84,1.68,19,4.09,1.85,22,4.94,2.11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
man,男人,noun,2,9,NA,5.5,1.59,16,4.69,2.27,16,5.42,1.22,19,4.36,2.49,47,5.19,1.97,16,0.3,1.83,NA,NA,6.80952,6.607143,1.230769,346.03,0.0059,7.8,643.1,-0.667,NA
manager,经理,noun,2,19,3,4.81,1.22,16,4.56,2.03,16,4.82,1.74,22,4.15,2.3,20,4.62,1.71,16,0.41,1.95,NA,NA,5.90909,6.407407,1.933333,52.02,0.0056,12.8,672.12,-0.645,NA
mandarin,普通话,noun,3,30,4,5.31,0.79,16,4.19,2.1,16,6.15,1.35,20,3.91,2.49,22,4.81,2.07,16,NA,NA,NA,NA,NA,6.541667,NA,NA,0.0016,NA,NA,NA,NA
mane,鬃毛,noun,2,22,NA,5,0.53,15,4.19,1.94,16,5.32,1.53,19,4.17,2.35,23,3.73,1.79,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mango,芒果,noun,2,14,NA,6.31,1.35,16,3.62,1.89,16,6.57,2.31,21,3.05,1.77,21,5.31,2.24,16,NA,NA,1.73,6.86,NA,6.227273,NA,NA,NA,7.8,NA,NA,NA
manhunt,搜捕,verb,2,22,NA,4,1.37,16,5.06,2.02,16,3.61,2.21,23,6.33,1.85,21,4.38,1.63,16,NA,NA,NA,NA,NA,5,NA,NA,NA,11.6,NA,NA,NA
manifest,显现,verb,2,17,NA,5,0.37,16,4.81,1.22,16,4.81,1.78,21,4.12,2.79,25,5,2.37,16,0.27,1.79,NA,NA,3.45238,6.182292,3.628571,3.61,0.0014,11.8,732.9,-0.3,NA
manipulate,操纵,verb,2,23,6,3.88,1.15,16,5.44,1.82,16,3.21,1.36,19,4.76,1.92,21,5.19,1.94,16,-0.92,2.85,NA,NA,4.78261,5.962963,3.44,13.18,0.0024,12.6,711.03,-0.48,NA
manor,庄园,noun,2,13,NA,6,1.26,16,3.75,1.95,16,5.9,0.94,21,3.68,2.29,25,4.56,2.03,16,0.38,1.87,2.32,7.61,NA,5.423077,1.962963,6.47,NA,11.2,723.91,-0.371,NA
mansion,公馆,noun,2,15,NA,5.69,1.4,16,4.19,1.87,16,6.62,1.88,21,4.84,2.69,25,4.38,2.13,16,NA,NA,NA,NA,NA,5.340909,NA,NA,0.0008,14.5,NA,NA,NA
mantis,螳螂,noun,2,31,NA,4.31,1.2,16,4.25,1.77,16,4.95,1.61,19,3.25,2.47,20,4.94,2.67,16,-0.42,1.53,NA,NA,NA,5.954545,1.225806,1.49,0.0007,8.9,705.67,-0.391,NA
manual,手册,noun,2,9,NA,5.19,0.54,16,3.75,1.77,16,4.95,1.64,20,3.17,1.72,23,3.44,2.13,16,0.17,1.36,NA,NA,5.45,6.628571,1.677419,9.12,NA,10,685.72,-0.61,NA
manufacture,制造,verb,2,18,5,5.25,0.58,16,3.94,1.44,16,5,1.91,19,4.41,2.42,22,3.69,1.99,16,0.48,2.04,NA,NA,3.81818,6.0625,2.48,47.75,0.013,11.3,672.45,-0.603,NA
manufacturer,制造商,noun,3,29,NA,5.12,0.81,16,4,1.67,16,4,1.84,24,3.61,1.99,23,4.19,2.01,16,0.37,2.25,NA,NA,NA,5.928571,NA,3.85,NA,13.7,644.31,-0.623,NA
manufacturing,制造业,noun,3,23,NA,5.31,0.79,16,3.81,1.68,16,5,1.9,22,4.5,2.23,26,3.81,1.8,16,NA,NA,NA,NA,NA,NA,NA,NA,0.0006,NA,NA,NA,NA
manuscript,手稿,noun,2,19,NA,5.88,1.26,16,4,1.79,16,6.05,1.39,20,3.29,2.33,21,4.81,2.37,16,NA,NA,NA,NA,NA,5,NA,NA,NA,14.4,NA,NA,NA
map,地图,noun,2,14,3,5.69,1.14,16,3.88,1.89,16,5.81,1.91,21,3.95,2.28,20,4.81,2.14,16,0.43,1.76,5.14,5.27,6.36842,5.923077,1.518519,35.95,0.005,8.4,689.57,-0.482,NA
maple,枫树,noun,2,17,NA,6,1.32,16,3.38,1.96,16,6.09,1.66,22,3.77,2.07,22,4.81,2.2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marathon,马拉松,noun,3,20,NA,5.5,1.1,16,5.31,2.24,16,5.48,1.72,21,5.04,2.69,23,4.94,1.81,16,0.73,2.28,NA,NA,NA,5.730769,NA,6.08,NA,11.4,692.53,-0.421,NA
marble,大理石,noun,3,19,NA,5.56,1.15,16,3.69,1.49,16,5.8,1.64,20,3.57,1.73,23,4.56,2.1,16,NA,NA,NA,NA,NA,5.807692,NA,NA,0.0008,NA,NA,NA,NA
marker,标记,noun,2,14,6,4.88,0.34,16,4.5,2.07,16,5.8,1.64,20,4.05,2.54,21,4.81,2.1,16,NA,NA,NA,NA,5.04545,6.035714,NA,NA,0.001,10.3,NA,NA,NA
market,市场,noun,2,11,5,5.06,0.44,16,4.56,2.03,16,6.21,1.68,101,3.55,2.18,82,5.25,2.32,16,0.31,1.39,NA,NA,5.14286,6.787879,2.866667,32.13,0.0427,12.5,674.57,-0.566,NA
marketing,营销,verb,2,23,NA,4.69,0.79,16,4.75,1.98,16,4.83,1.85,23,4.75,2.33,24,4.69,2.36,16,NA,NA,NA,NA,NA,6.346154,NA,NA,NA,13.9,NA,NA,NA
marksmanship,枪法,noun,2,16,NA,5.12,0.34,16,5.33,2.29,15,5.19,1.83,21,4.96,2.33,23,4.56,2.13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marquis,侯爵,noun,2,26,NA,5.25,0.86,16,4.4,2.06,15,4.77,1.69,22,3.77,2.16,22,3.81,1.83,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
marriage,结婚,verb,2,20,3,6.31,1.54,16,5.62,2.28,16,7.56,1.62,18,4.95,3.04,21,5.5,1.86,16,1.13,3.06,NA,NA,6.65,6.636364,1.653846,194.8,0.0085,12.3,621.29,-0.792,NA
marrow,骨髓,noun,2,30,NA,5.06,0.68,16,4.12,2.06,16,4.29,2.02,17,3.65,2.06,20,4.81,2.2,16,NA,NA,NA,NA,5.15,5.766667,NA,NA,0.0007,11.1,NA,NA,NA
mash,捣碎,verb,2,23,NA,5,0.37,16,5.12,1.31,16,4.81,2.02,21,3.85,2.89,20,5,2.42,16,-0.56,2.24,NA,NA,NA,5.326531,2.321429,0.6,NA,11.6,911.27,0.222,NA
mask,面具,noun,2,17,NA,4.5,0.63,16,4.25,2.02,16,4.81,1.5,21,3.26,2.4,23,4.88,2,16,-0.63,1.91,4.78,3.88,NA,6.038462,2.086957,19.94,NA,11.8,683.85,-0.583,NA
masochist,受虐狂,noun,3,24,NA,2.06,1.65,16,6.06,1.91,16,3.39,2.23,18,4.77,2.43,22,5,2.31,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mass,群众,noun,2,19,6,5.28,1.25,32,4.56,2.06,32,5.15,1.35,20,3.56,2.18,25,4.06,2.31,32,0.24,2,NA,NA,4.7,6.4,2.193548,6.05,0.0422,11.5,657.99,-0.602,NA
massacre,大屠杀,noun,3,20,NA,1.25,0.68,16,6.88,2,16,1.77,1.57,80,6.68,2.49,104,6.38,2.36,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
massage,按摩,verb,2,24,6,6.62,1.82,16,4.19,1.8,16,7.16,1.64,19,3.88,2.59,24,4.06,2.52,16,-0.14,1.77,NA,NA,6,5.666667,2.16129,20.66,NA,10.6,752.16,-0.334,NA
massive,大量,adjective,2,15,NA,5.56,1.09,16,4.69,1.78,16,5.18,1.37,22,5.79,2.68,19,3.25,2.08,16,NA,NA,NA,NA,4.34884,6.218571,NA,NA,0.0266,11.4,NA,NA,NA
mast,桅杆,noun,2,17,NA,5.25,0.58,16,3.88,1.86,16,4.85,0.88,20,3.71,1.9,21,2.6,1.8,15,0.09,1.24,NA,NA,5.3,4.481481,2.464286,0.75,NA,11.5,865.39,0.084,NA
master,主人,noun,2,7,5,4.75,1.24,16,5.07,1.98,15,5.72,1.99,18,4.4,3.15,20,3.69,1.92,16,0.04,2.13,NA,NA,5.13636,5.28,2,45.16,0.0081,8.4,618.22,-0.716,NA
masturbation,手淫,verb,2,15,NA,3.13,1.81,15,5.88,1.75,16,5.89,2.4,18,6.3,2.64,20,5.07,2.6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
match,比赛,noun,2,18,3,5.88,1.26,16,6.94,1.57,16,5.61,0.85,18,3.05,2.27,21,5.38,2.94,16,0.61,2.92,NA,NA,5.58333,6.714286,2.25,319.74,0.0088,9.1,724.59,-0.404,NA
matchbook,火柴盒,noun,3,25,NA,5.25,0.77,16,4.06,1.77,16,5.05,1.69,21,3.65,2.69,23,2.94,2.05,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
material,材料,noun,2,17,4,5.19,0.75,16,3.75,1.73,16,5.71,1.52,24,3.74,2.54,39,3.25,2.46,16,0.12,1.42,NA,NA,4.73913,6.666667,2.583333,21.82,0.0236,10.9,633.36,-0.659,NA
materialism,唯物主义,noun,4,27,NA,6.44,1.41,16,3.88,2,16,3.52,2.06,21,3.52,2.31,23,3.25,2.27,16,NA,NA,NA,NA,NA,NA,NA,NA,0.0037,NA,NA,NA,NA
math,数学,noun,2,21,3,5.19,2.93,16,4.94,2.69,16,4.45,2.37,20,4.96,3.1,23,4.5,2.39,16,0.23,1.63,NA,NA,5.27586,NA,2.076923,21.91,0.011,7.5,635.46,-0.715,NA
mathematician,数学家,noun,3,31,NA,6.81,1.91,16,5.31,2.77,16,5.24,1.97,21,3.57,2.23,23,3.31,1.74,16,NA,NA,NA,NA,NA,NA,NA,NA,0.0014,NA,NA,NA,NA
mating,交配,verb,2,16,NA,5.19,0.66,16,5.94,1.73,16,5.76,2.28,21,6.35,2.23,23,5.19,1.76,16,-0.04,2.42,NA,NA,4.25,6,2.137931,3.67,NA,14.4,698.71,-0.473,NA
matrix,矩阵,noun,2,15,NA,5.31,1.2,16,3.8,2.01,15,5.9,2.05,21,4.4,2.56,20,3.07,2.53,14,0.24,1.56,NA,NA,NA,4.434783,2.576923,1.34,NA,15.6,859.75,0.109,NA
matter,课题,noun,2,25,6,5.44,1.46,16,5.12,2.28,16,5.82,1.37,22,4.05,2.18,21,4.56,2.83,16,NA,NA,NA,NA,3.5,6.2,NA,NA,0.004,14.9,NA,NA,NA
mattress,床垫,noun,2,16,NA,6.06,1.48,16,3.75,1.98,16,5.74,2.42,19,3.45,2.22,22,5.56,1.71,16,0.09,1.39,NA,NA,NA,6.090909,1.2,4.23,NA,8.4,795.56,-0.165,NA
mature,成熟,verb,2,21,5,6.71,1.61,17,4.47,2.11,32,5.95,2.03,22,3.48,2.09,21,4.91,2.28,33,1.27,2.12,2.54,6.4,4.5,6.34375,2.956522,31.45,0.0087,14.1,629.34,-0.708,NA
measure,测量,verb,2,21,6,5.38,0.72,16,4.25,1.81,16,5.14,1.56,21,4.36,1.93,25,3.19,1.72,16,0.17,1.95,NA,NA,5.25,6.514286,2.961538,6.29,0.0066,12.7,669.34,-0.576,NA
meat,肉,noun,1,6,NA,5.69,1.49,16,6,1.75,16,6.62,1.77,21,4.3,2.11,20,5.38,2.03,16,NA,NA,NA,NA,NA,NA,NA,73.21,0.0074,NA,767.7,-0.316,NA
meatball,肉丸,noun,2,9,NA,6.38,1.71,16,5.88,1.5,16,6.68,1.59,22,4.79,2.57,19,5,2.25,16,0.15,2.24,NA,NA,NA,6,2.045455,2.77,NA,7.5,784.71,-0.299,NA
mechanic,技工,noun,2,10,NA,5.31,0.6,16,4.44,1.5,16,5.45,1.32,20,4.45,2.15,22,3.44,2.16,16,NA,NA,NA,NA,NA,5.304348,NA,NA,NA,14.7,NA,NA,NA
mechanism,机制,noun,2,14,NA,5.5,0.97,16,4,1.93,16,4.9,1.61,21,3.64,1.79,22,2.94,1.81,16,NA,NA,NA,NA,2.85,5.6,NA,NA,0.0079,15.6,NA,NA,NA
medal,奖章,noun,2,20,NA,7.94,1,16,5.94,1.73,16,5.2,1.61,20,5.3,2.45,20,4.38,2.16,16,NA,NA,5.54,5.43,6.42105,6.066667,NA,NA,0.0007,9.8,NA,NA,NA
mediation,调解,verb,2,23,6,6.5,1.15,16,4.44,1.55,16,5.5,1,20,2.85,1.87,20,3.62,2.33,16,0.77,2.09,NA,NA,3.59091,6.071429,3,2.21,0.0015,13.9,725.93,-0.383,NA
meditation,冥想,verb,2,23,NA,6.44,2,16,2.56,1.86,16,7.21,1.78,19,2.5,1.99,20,4.88,2.55,16,0.17,1.67,NA,NA,NA,5.230769,3.928571,2.98,NA,14.2,726.45,-0.349,NA
medium,中等,adjective,2,16,NA,5.25,1.06,16,4.19,1.42,16,4.85,1.35,20,3,2.06,17,3.88,2.16,16,0.22,1.63,NA,NA,3.95455,5.64,3.148148,2.98,0.002,9.2,720.71,-0.374,NA
meeting,会议,noun,2,11,3,4.62,1.59,16,4.94,1.91,16,4.55,1.26,22,3.71,2.08,21,3.5,2.5,16,0.27,1.96,NA,NA,5.18182,6.433333,1.884615,57.17,0.0192,10.7,637.17,-0.632,NA
melody,旋律,noun,2,20,6,7.31,1.35,16,4.12,2.31,16,6.65,1.64,40,4.86,2.67,21,4.75,1.98,16,0.72,1.95,NA,NA,4,5.56,3,6.02,0.0022,11.1,727.95,-0.409,NA
melt,熔化,verb,2,18,NA,5.19,1.11,16,4.94,2.57,16,5.95,1.8,21,3,2.4,24,3.25,2.27,16,0.04,2.29,NA,NA,4.89655,5.461538,2.064516,2.06,0.001,11.4,773.49,-0.273,NA
member,成员,noun,2,13,6,5.25,1.06,16,4.25,2.05,16,5.95,1.89,22,3.47,2.17,19,3,2.25,16,0.17,1.85,NA,NA,4.35,6.628571,2.652174,62.24,0.0087,9.7,679.92,-0.602,NA
membership,会员,noun,2,13,NA,6.06,1.24,16,4.44,1.71,16,5.61,1.88,23,4.45,2.36,22,3.56,2.39,16,0.2,2.12,NA,NA,NA,5.782609,2.458333,11.57,0.0013,13.2,670,-0.665,NA
memorandum,备忘录,noun,3,23,6,5.62,1.15,16,4.19,2.17,16,4.5,1.3,22,3.96,2.29,26,4.62,2.78,16,0.42,1.72,NA,NA,NA,6.304348,NA,4.71,NA,12.6,736.06,-0.375,NA
memory,记忆,noun,2,9,5,5.72,1.33,32,3.72,1.78,32,6.58,2.14,19,4.08,2.25,37,#N/A,#N/A,#N/A,0.38,2.04,NA,NA,3.86957,6.588235,3.538462,63.43,0.0075,9.5,619,-0.73,NA
meningitis,脑膜炎,noun,3,32,NA,1.06,0.25,16,5.69,2.7,16,2.55,1.43,20,5.41,2.38,22,3.86,2.32,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
menopause,更年期,noun,3,25,NA,2.44,1.55,16,5.25,2.11,16,1.89,1.02,18,3.55,2.24,20,4.44,2.39,16,-1,2.48,NA,NA,NA,6,NA,1.52,NA,14.1,720.46,-0.361,NA
mentality,心态,noun,2,12,6,5.62,1.31,16,4.19,1.8,16,4.76,1.34,21,4.62,2.04,21,3.94,2.41,16,0.35,1.67,NA,NA,4.21739,6.518519,3.695652,3.13,NA,14.8,695.82,-0.569,NA
mention,提到,verb,2,20,NA,5.06,0.25,16,3.75,1.84,16,5.39,1.5,18,2.65,1.6,20,3.62,2.28,16,NA,NA,NA,NA,NA,5.846154,NA,NA,0.0059,10.2,NA,NA,NA
menu,菜单,noun,2,19,3,5.81,1.05,16,4.25,1.95,16,6.3,1.34,20,4.17,2.42,23,4.25,2.27,16,NA,NA,NA,NA,5.63636,6.12,NA,NA,NA,11.3,NA,NA,NA
mercury,水星,noun,2,13,NA,5.31,0.6,16,3.67,2.32,15,5.67,1.85,18,4.8,2.69,20,2.25,1.77,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mere,仅仅,adverb,2,8,NA,4.75,0.86,16,4.06,1.69,16,4.68,1.49,22,3.71,2.12,21,2.69,1.54,16,NA,NA,NA,NA,3.45455,5.64,NA,NA,0.0055,NA,NA,NA,NA
merge,合并,verb,2,12,6,5.06,0.44,16,3.81,1.83,16,4.95,1.27,19,3.5,1.98,18,2.56,1.41,16,NA,NA,NA,NA,4.11905,5.828125,NA,NA,0.0023,11.5,NA,NA,NA
mermaid,美人鱼,noun,3,19,NA,6.4,1.5,15,5,1.9,16,7.05,1.43,21,5.58,2.14,19,3.81,2.54,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
messenger,信使,noun,2,17,NA,5.75,1,16,4.19,1.76,16,5.65,1.31,20,4.57,2.23,21,3.27,2.12,15,NA,NA,NA,NA,4.80952,6.30303,NA,NA,NA,NA,NA,NA,NA
metabolic,代谢,verb,2,17,NA,5.25,1.06,16,4.44,1.63,16,5.11,1.45,19,4.67,1.98,21,3.5,2.31,16,0.46,1.89,NA,NA,3.61905,6.285714,2.966667,1.76,0.0031,12.6,955.43,0.297,NA
metal,金属,noun,2,20,5,5.19,0.75,16,4,2.13,16,5.05,1.34,41,3.48,2.09,21,3.81,2.76,16,0.17,1.22,NA,NA,6.04762,6.666667,1.807692,26.29,0.0145,9,737.98,-0.316,NA
metaphor,隐喻,noun,2,23,NA,5.06,1.12,16,4.31,1.92,16,6.11,1.2,19,4.14,2.48,21,3.5,2.19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
meteor,流星,noun,2,19,NA,6.87,1.55,15,5.38,2.53,16,5.1,1.58,21,5.62,2.2,21,4.44,2.5,16,0.4,2.38,7.31,6.37,6.42105,6.514286,1.615385,3.19,0.0008,10.7,671.09,-0.557,NA
meteorite,陨石,noun,2,14,NA,5.33,1.54,15,5.44,2.45,16,7.25,1.52,20,6.37,2.59,19,2.8,2.01,15,-0.25,2.09,NA,NA,5.94737,4.653846,1.807692,6.71,0.001,11.7,667.25,-0.54,NA
methane,甲烷,noun,2,16,NA,5,1.04,14,3.81,2.07,16,3.48,1.72,21,3.73,2.27,22,2.75,2.21,16,NA,NA,NA,NA,NA,NA,NA,NA,0.0014,NA,NA,NA,NA
method,方法,noun,2,12,4,5.53,1.05,32,4.69,1.73,32,5.2,1.32,40,4.17,2.55,42,3.88,2.69,32,0.62,1.7,NA,NA,3.43478,6.588235,3.454545,124.42,0.0638,6.8,614.61,-0.721,NA
methodology,方法论,noun,3,18,NA,5.69,1.14,16,4.5,2.22,16,4.84,2.12,19,3.41,2.38,22,2.69,2.02,16,0.38,1.43,NA,NA,NA,5.125,NA,0.09,0.002,14.1,799.77,-0.053,NA
microphone,麦克风,noun,3,18,5,5.5,1.15,16,4.31,2.18,16,5.11,1.49,19,4.19,2.48,21,4.38,2.25,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
microscope,显微镜,noun,3,38,NA,5.31,0.87,16,3.75,2.05,16,6.33,1.37,18,4,2.56,23,2.94,1.81,16,NA,NA,NA,NA,NA,5.208333,NA,NA,0.003,NA,NA,NA,NA
microscopic,微观,adjective,2,19,6,5,1.15,16,3.81,2.29,16,5.24,1.73,21,3.86,2.46,22,2.31,1.89,16,0.57,1.5,NA,NA,3.08696,6.294118,3.611111,0.21,0.0028,15.3,846.64,0.085,NA
middle,中间,noun,2,11,3,5.31,0.87,16,3.69,1.74,16,5.22,1.48,18,2.85,2.06,20,3.12,2.47,16,NA,NA,NA,NA,5,6.628571,NA,NA,0.0143,NA,NA,NA,NA
midnight,午夜,noun,2,12,NA,5.62,1.93,16,3.69,2.39,16,6.18,2.08,22,4.05,3.07,20,5.12,2.19,16,-0.08,1.7,NA,NA,NA,5.857143,2.076923,21.76,0.0007,11,702.05,-0.37,NA
midsummer,仲夏,noun,2,16,NA,7.38,1.36,16,4.38,2.42,16,6.24,2.14,21,4.8,2.89,20,5.62,2.28,16,0.4,1.77,NA,NA,NA,4.56,2.56,0.69,NA,15.4,843.81,0.091,NA
migraine,偏头痛,noun,3,28,NA,1.62,0.81,16,5.81,2.26,16,2.68,1.77,19,4.96,2.96,24,5,2.42,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
migrate,迁徙,verb,2,17,6,5.38,0.81,16,4.69,2.33,16,4.57,1.4,21,3.33,2.78,24,3.62,2.5,16,0.03,1.39,NA,NA,5.22727,5.962963,3.12,1.7,0.001,13.1,831.53,-0.119,NA
mile,英里,noun,2,15,NA,4.75,1,16,3.44,2.06,16,4.78,1.8,18,3.43,2.38,21,3.13,2.72,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mileage,里程,noun,2,19,NA,5.06,0.25,16,3.5,2.1,16,5.9,1.71,20,2.95,1.94,21,3.06,2.46,16,NA,NA,NA,NA,NA,5.684211,NA,NA,NA,13.7,NA,NA,NA
militia,民兵,noun,2,12,NA,5.44,1.59,16,4.88,2.7,16,4.21,2.2,19,4.36,2.5,22,3.67,2.58,15,0.8,1.32,NA,NA,NA,4.96,1.73913,2.27,0.0034,10.5,773.7,-0.179,NA
milk,牛奶,noun,2,9,2,6.69,0.87,16,4,2.03,16,6.74,1.91,19,2.33,1.56,21,5.44,2.53,16,0.61,1.84,NA,NA,6.89474,6.423077,1.307692,26.47,0.0013,7.3,608.2,-0.717,NA
