word.EN,word.CH,pos,syllables,strokes,HSK,valence.mean.CH,valence.sd.CH,valence.N.CH,arousal.mean.CH,arousal.sd.CH,arousal.N.CH,valence.mean.EN,valence.sd.EN,valence.N.EN,arousal.mean.EN,arousal.sd.EN,arousal.N.EN,sensory.mean.CH,sensory.sd.CH,sensory.N.CH,valence_Xu,arousal_Xu,valence_yao,arousal_yao,imageability_su,familiarity_su,concreteness_xu,freq_m_Tsang,freq_cncorpus,AoA_Xu,RT_Tsang,zRT_Tsang,category
adversity,逆境, noun,2,23,NA,4.67,1.54,15,6.19,1.52,16,4.26,2.47,19,3.82,2.61,22,5.19,2.61,16,-0.04,2.6,NA,NA,NA,5.333333,3.884615,1.67,NA,11.8,753.01,-0.258,NA
advertisement,广告,noun,2,10,4,4.5,0.97,16,4.44,1.21,16,4.3,1.49,20,4.14,2.46,22,4.19,2.1,16,-0.1,2.46,NA,NA,6.57895,6.52,2.923077,70.26,0.0037,10.6,609.29,-0.83,NA
adviser,顾问,noun,2,16,6,5.69,1.42,32,4.44,1.39,32,5.68,2.11,19,3.36,1.71,22,#N/A,#N/A,#N/A,0.47,1.61,5.06,5.53,NA,5.666667,2.375,22.57,0.0019,15.1,685.19,-0.479,NA
afloat,漂浮,verb,2,24,6,4.93,1.33,15,4.12,1.78,16,5.57,1.33,21,4.13,2.24,23,5.19,2.26,16,-0.08,1.96,NA,NA,5.95,5.96,2.483871,3.46,NA,12.8,659.06,-0.52,NA
afterlife,来世,noun,2,12,NA,5.4,2.03,15,5.38,2.55,16,5.53,2.52,19,4.32,2.9,22,5,2.8,16,-0.21,2.38,NA,NA,NA,5.666667,3.708333,1.19,NA,13.2,742.44,-0.233,NA
afternoon,下午,noun,2,7,1,5.88,1.36,16,3.31,1.78,16,6.68,1.43,22,3.48,2.09,21,3.75,2.44,16,NA,NA,NA,NA,4.45455,6.714286,NA,NA,0.0085,NA,NA,NA,NA
age,年龄,noun,2,19,4,5.62,1.5,16,4.19,2.43,16,5.78,1.93,18,3.71,2.59,21,4.19,2.59,16,0.17,1.8,NA,NA,5.18182,6.53125,1.846154,28.94,0.008,9.6,600.73,-0.785,NA
agenda,议程,noun,2,17,NA,5.06,1.18,16,4.44,1.55,16,5.05,2.01,21,3.62,2.26,24,3.06,2.02,16,NA,NA,NA,NA,3.54167,5.5,NA,NA,NA,15.7,NA,NA,NA
aggravate,加重,verb,2,14,NA,4.38,1.76,32,5.81,1.8,32,2.55,1.19,20,5.9,2.19,21,#N/A,#N/A,#N/A,NA,NA,NA,NA,3.55172,5.5,NA,NA,0.0017,10.8,NA,NA,NA
aggressor,侵略者,noun,3,28,NA,2.16,1.58,194,7.06,1.77,16,2.8,1.01,20,6.55,1.57,20,5.12,2.47,16,-2.42,2.97,NA,NA,NA,5.708333,NA,0.89,0.0021,11.3,782.44,-0.3,NA
aging,老化,verb,2,10,NA,3.94,1.73,16,4.53,1.88,15,3,1.41,18,3.8,2.88,20,5.81,2.1,16,NA,NA,NA,NA,4.22727,5.53125,NA,NA,0.0007,12.6,NA,NA,NA
agree,同意,verb,2,19,3,6.25,1.44,16,5.5,1.59,16,7.17,1.58,18,3.62,2.09,21,4.88,2.85,16,1,2.59,NA,NA,3.85,NA,2.68,171.67,0.01,8.3,600.94,-0.824,NA
agreement,协议,verb,2,11,6,5.44,1.31,16,3.88,1.63,16,6.75,2.51,20,4.05,2.22,19,3.69,2.47,16,0.26,2.37,NA,NA,3.68182,6.4,2.4,46.29,0.0033,13.2,729.71,-0.417,NA
agricultural,农业,noun,2,11,5,5.81,0.98,16,4.25,1.18,16,5.5,2.41,18,3.55,2.18,22,3.81,2.46,16,NA,NA,NA,NA,5.15,6.24,NA,NA,0.0381,9.3,NA,NA,NA
aids,艾滋病,noun,3,27,NA,2.5,2.19,16,7.19,1.52,16,3.52,2.2,21,3.75,2.74,24,5.62,2.73,16,NA,NA,NA,NA,NA,6.148148,NA,NA,NA,NA,NA,NA,NA
air,空气,noun,2,12,4,6,1.65,32,3.69,1.71,32,6.71,1.85,21,3.25,2.55,20,#N/A,#N/A,#N/A,0.33,1.32,NA,NA,5.29545,6.670238,2.115385,40.69,0.0222,7.7,604.18,-0.803,NA
airbag,气囊,noun,2,26,NA,5.25,1.06,16,4.47,1.51,15,5.4,1.93,20,3.64,1.97,22,4.43,2.53,14,NA,NA,NA,NA,NA,4.807692,NA,NA,NA,14.7,NA,NA,NA
aircraft,飞机,noun,2,9,1,5.75,1.53,16,5.5,1.75,16,6.3,1.42,20,4.86,2.46,22,4.88,2.31,16,0.52,2.08,NA,NA,6.36842,5.555556,1.36,149.64,0.0114,9,584.72,-0.824,NA
aircraft carrier,航空母舰,noun,4,33,NA,6,1.13,15,6.06,2.08,16,5.25,1.8,20,4.64,2.59,22,5.07,3.2,15,1,2.48,NA,NA,NA,5.653846,NA,0.63,NA,14.8,839.46,0.042,NA
airport,机场,noun,2,12,2,5.69,1.54,16,5.06,1.65,16,6,2.14,21,5.5,2.78,20,4.19,2.69,16,NA,NA,4.41,3.51,6.33333,6.1875,NA,NA,0.0017,10.2,NA,NA,NA
airship,飞艇,noun,2,15,NA,5.73,1.03,15,5.75,1.53,16,5.63,1.34,19,4.88,2.47,24,4.43,2.34,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
airspace,空域,noun,2,19,NA,5.47,0.99,15,4.69,1.78,16,5.5,1.29,18,4.4,2.16,20,3.21,2.26,14,NA,NA,NA,NA,NA,4.416667,NA,NA,NA,16.3,NA,NA,NA
aisle,过道,noun,2,18,NA,5.44,1.36,16,4.31,1.25,16,5.17,1.65,18,2.5,1.44,22,4,2.99,16,NA,NA,NA,NA,NA,5.409091,NA,NA,NA,9.3,NA,NA,NA
alarm clock,闹钟,noun,2,17,NA,4.94,1.41,32,7,1.57,32,3.47,1.47,19,5.36,2.77,22,#N/A,#N/A,#N/A,0.04,2.3,NA,NA,6.78571,6.653846,1.269231,4.53,NA,7.9,671.08,-0.545,NA
albatross,信天翁,noun,3,23,NA,5.93,1.07,14,4.85,1.28,13,5.68,2.31,19,3.09,1.6,22,3,2.41,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
album,专辑,noun,2,17,NA,5.62,1.02,16,4.06,1.95,16,6.19,1.78,21,5.63,2.63,19,4.4,2.82,15,0.17,1.48,NA,NA,5.69565,6.25,1.92,17.23,NA,14.5,724.46,-0.395,NA
alcohol,酒精,noun,2,24,6,4.25,1.73,16,6.25,1.57,16,4.11,2.08,19,5.17,1.86,18,5.12,2.25,16,NA,NA,NA,NA,6.31579,6.24,NA,NA,0.0027,10.7,NA,NA,NA
alcoholism,酗酒,verb,2,21,6,3,2.13,16,7.12,1.41,16,2,1.61,21,5,2.45,24,5.73,1.87,15,-2,2.52,NA,NA,NA,5.380952,2.096774,14.64,NA,16.9,877.14,0.038,NA
algebra,代数,noun,2,18,NA,5.38,2,16,4.88,2.06,16,5.4,2.28,20,4.6,2.66,20,4.75,3.17,16,NA,NA,NA,NA,NA,NA,NA,NA,0.0008,NA,NA,NA,NA
algorithm,算法,noun,2,22,NA,6.12,1.67,16,4.75,2.14,16,5.3,1.59,20,3.7,1.87,20,3,1.59,16,NA,NA,NA,NA,NA,5.538462,NA,NA,NA,11.8,NA,NA,NA
alias,别名,noun,2,13,NA,5.06,0.93,16,4.25,1.65,16,5,1.03,20,4.71,2.05,21,2.94,2.24,16,-0.12,1.58,NA,NA,NA,5.407895,2.478261,1.1,NA,11.4,797.47,-0.024,NA
alien,外星人,noun,3,16,NA,5.94,1.57,16,6.5,1.75,16,4.45,1.82,20,4.86,2.21,22,4.88,2.5,16,-0.35,3.04,NA,NA,NA,5.461538,NA,23.43,NA,11,650.99,-0.597,NA
alienation,异化,verb,2,10,NA,4.38,1.82,16,6.33,1.95,15,2.53,1.17,19,5.14,1.88,22,5.07,2.37,15,NA,NA,NA,NA,NA,3.4,NA,NA,0.001,15.6,NA,NA,NA
alley,小巷,noun,2,12,NA,5.38,1.75,16,3.44,2.1,16,4.17,1.63,41,4.08,2.28,38,4.62,2.55,16,0.25,1.05,NA,NA,NA,5.12,1.695652,5.19,NA,9.7,708.65,-0.389,NA
allied,同盟,noun,2,19,NA,5.6,1.5,15,5.69,1.58,16,5.95,1.36,20,3.38,1.94,21,4.31,2.63,16,1.05,2,NA,NA,NA,4.916667,2.521739,5.22,0.0011,13.9,711.41,-0.336,NA
allow,允许,verb,2,10,4,6.06,1.69,16,4.94,1.57,16,6.39,1.75,18,2.95,1.75,21,4.88,2.63,16,0.8,2,NA,NA,3.84091,5.906875,2.695652,81.5,0.0079,10.3,654.64,-0.664,NA
allowance,津贴,noun,2,18,NA,6.69,1.6,32,6.12,1.93,32,6.74,1.37,19,4.05,2.11,21,#N/A,#N/A,#N/A,1.39,2.45,NA,NA,4.4,6.457143,2.285714,2.56,0.0006,15.5,805.23,-0.085,NA
alloy,合金,noun,2,14,NA,5.75,1.24,16,4.69,1.62,16,5.2,1.85,20,3.32,2.06,22,2.56,1.5,16,NA,NA,NA,NA,NA,5.227273,NA,NA,0.0019,12.3,NA,NA,NA
ally,盟友,noun,2,17,NA,6.25,1.13,16,4.56,1.82,16,6.05,2.4,22,4.8,2.44,20,4.56,2.9,16,NA,NA,NA,NA,5.5,5.8,NA,NA,NA,12.7,NA,NA,NA
almighty,全能,adjective,2,16,NA,6.5,1.67,16,5.31,1.54,16,6.15,2.16,20,4.59,2.61,22,4.62,2.85,16,1.77,2.79,NA,NA,4.69565,6.481481,3.576923,4.05,0.0005,11.2,694.41,-0.511,NA
almond,杏仁,noun,2,11,NA,5.53,1.41,15,3.93,1.67,15,6.05,1.85,20,2.89,2.13,19,4,2.39,16,0.18,1.38,NA,NA,NA,6.045455,1.291667,3.1,NA,9.7,725.35,-0.416,NA
altar,祭坛,noun,2,18,NA,5.5,1.59,16,4.81,2.07,16,5.59,2.15,22,4.05,2.62,21,4.81,2.04,16,-0.84,1.92,3.14,6.69,NA,4.956522,2.227273,1.61,NA,14.5,768.82,-0.264,NA
alternate,交替,verb,2,18,NA,5.62,1.31,16,4.38,1.75,16,5.15,0.81,20,3.48,1.89,21,3.56,1.97,16,0.25,1.5,NA,NA,3.6,5.72,3.206897,1.1,0.0022,12.1,770.26,-0.336,NA
altitude,海拔,noun,2,18,6,5.44,1.03,16,4.75,2.05,16,5.27,1.72,22,4.15,2.52,26,4.12,2.9,16,NA,NA,NA,NA,4.09091,5.9375,NA,NA,0.002,12.1,NA,NA,NA
aluminum,铝,noun,1,11,NA,5.06,0.68,16,4.31,1.49,16,5.1,1.68,20,4.05,2.24,20,3.06,1.29,16,NA,NA,NA,NA,NA,NA,NA,NA,0.0038,NA,NA,NA,NA
alumnus,校友,noun,2,14,NA,5.93,0.88,15,5.5,1.67,16,4.95,1.5,21,3.23,2,22,4.56,2.37,16,0.63,1.83,NA,NA,NA,6.291667,1.611111,2.59,NA,11.9,738.77,-0.412,NA
ambulance,救护车,noun,3,22,5,4.75,1.98,16,6.53,2,15,3.71,2.11,41,5.33,2.94,21,5.62,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambush,埋伏,verb,2,16,6,4.5,1.59,16,6.5,1.63,16,3.17,1.89,18,5.58,2.81,19,4.81,2.43,16,-0.88,2.58,5.23,5.12,4.13793,5.192308,3.269231,5.43,0.0007,12.5,740.65,-0.357,NA
ammo,弹药,noun,2,20,NA,5.25,1.57,16,6.31,1.49,16,4.18,2.24,22,5.53,2.34,19,4.81,2.34,16,-0.35,2.96,NA,NA,5.9,5.92,2.111111,7.63,0.001,11.4,785.75,-0.29,NA
